x,y,z,heading1,heading2,heading3
0.4760834,0.05291667,-0.1050833,83.6576,153.2716,-12.44702,2.559998
0.4634167,-0.004749984,-0.1256667,90.58725,-177.8353,-15.17227,2.569998
0.4613334,-0.07583332,-0.1513333,99.33472,-153.3845,-18.16128,2.579998
0.4415,-0.11875,-0.18425,105.0545,-147.198,-22.65211,2.589998
0.4155,-0.1541667,-0.2173333,110.3568,-144.6498,-27.61247,2.599998
0.3960833,-0.1583333,-0.2234166,111.7889,-144.6751,-29.42581,2.609998
0.384,-0.1993333,-0.2515,117.4337,-141.6004,-33.22271,2.619998
0.3621667,-0.23125,-0.2671667,122.559,-139.1217,-36.41582,2.629998
0.328,-0.2786666,-0.258,130.351,-132.7947,-38.18807,2.639998
0.3109167,-0.3126667,-0.22775,135.1608,-126.07,-36.22319,2.649998
0.2884167,-0.3299167,-0.2338333,138.8397,-125.3277,-39.03335,2.659998
0.2610833,-0.34575,-0.2015,142.9427,-120.2332,-37.66039,2.669998
0.2435833,-0.3635,-0.1819167,146.1737,-116.5861,-36.75368,2.679998
0.1906667,-0.3949166,-0.1405,154.2286,-109.5841,-36.38606,2.689998
0.1794167,-0.401,-0.1210833,155.8951,-106.8019,-34.01431,2.699998
0.1269167,-0.4130833,-0.09799999,162.9208,-103.3461,-37.67389,2.709998
0.1131667,-0.40575,-0.0785833,164.4158,-100.961,-34.77624,2.719998
0.08483333,-0.4135,-0.04883331,168.4061,-96.73528,-29.92638,2.729998
0.06925002,-0.4061666,-0.02233332,170.3243,-93.14727,-17.87465,2.739998
0.05383334,-0.4065833,-0.01549998,172.4577,-92.18319,-16.06245,2.749998
0.04483333,-0.407,-0.005499989,173.7139,-90.77422,-6.993891,2.759998
0.03233335,-0.407,0.006583333,175.4578,-89.0733,11.50858,2.769998
0.01716667,-0.3940833,0.01866669,177.5057,-87.28807,47.39704,2.779998
-0.002666652,-0.4018333,0.01266667,-179.6198,-88.1945,101.8886,2.789998
-0.00849998,-0.3978333,0.001416683,-178.776,-89.79597,170.5375,2.799998
-0.03366666,-0.401,-0.01799998,-175.2009,-92.57014,-151.8687,2.809998
-0.04266666,-0.3989167,-0.03024998,-173.8951,-94.33645,-144.664,2.819998
-0.0695,-0.3945,-0.03149998,-170.0086,-94.56525,-155.6182,2.829998
-0.09183332,-0.3924167,-0.03358331,-166.8287,-94.89149,-159.9126,2.839998
-0.14075,-0.376,-0.02716666,-159.4774,-94.13254,-169.0755,2.849998
-0.1745,-0.3549167,-0.02383333,-153.8183,-93.84174,-172.2226,2.859998
-0.1914166,-0.3461667,-0.01716664,-151.0591,-92.839,-174.8753,2.869998
-0.22475,-0.326,0.006166667,-145.4169,-88.91631,178.4283,2.879998
-0.23725,-0.3149167,0.02641669,-143.0066,-85.20498,173.6465,2.889998
-0.24225,-0.3045,0.04641667,-141.4954,-81.33279,169.1532,2.899998
-0.2314167,-0.2880833,0.07100001,-141.2252,-76.15499,162.9437,2.909998
-0.2295,-0.2915833,0.07616669,-141.7944,-75.36045,161.64,2.919998
-0.2053333,-0.2949166,0.1043333,-145.1527,-70.51763,153.0641,2.929998
-0.1889167,-0.3036666,0.1401667,-148.1135,-65.22286,143.4264,2.939998
-0.1695,-0.2976667,0.1476667,-150.3416,-63.61488,138.9379,2.949998
-0.1551666,-0.292,0.1526667,-152.0141,-62.39803,135.4653,2.959998
-0.16325,-0.2903333,0.1630833,-150.6516,-60.67661,135.0293,2.969998
-0.152,-0.2851666,0.1799167,-151.9414,-57.75145,130.1923,2.979998
-0.1653333,-0.276,0.1786667,-149.077,-57.08327,132.7803,2.989998
-0.1695,-0.2643333,0.1778333,-147.3306,-56.06884,133.6256,2.999998
-0.17075,-0.26,0.1964167,-146.7059,-52.93082,131.0013,3.009998
-0.1874167,-0.235,0.1995,-141.427,-49.67086,133.2112,3.019998
-0.2415833,-0.17725,0.2353333,-126.2675,-36.98658,135.7508,3.029998
-0.2445,-0.1595833,0.2435,-123.1322,-33.23975,135.1174,3.039998
-0.28825,-0.1058333,0.2414167,-110.1611,-23.6719,140.053,3.049998
-0.2965833,-0.07349999,0.24225,-103.9187,-16.87809,140.7579,3.059998
-0.3055,-0.025,0.2555833,-94.67826,-5.586641,140.0839,3.069998
-0.3078333,0.004000008,0.2678334,-89.25553,0.8556311,138.9748,3.079998
