Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
7.000009,0.01391667,-0.1764167,-0.3904166,-0.01,-0.5,1.13,308.9089,1283.958,291,-64.72748,13.51045,245.6833,177.9585
7.050009,0.00975,-0.1795833,-0.4039166,0.08,0.42,0.64,900,1330.021,291,277.4896,12.10767,246.0298,178.6172
7.100009,0.04058333,-0.1704167,-0.4201667,0.19,0.14,1.06,900,1374.609,291,268.605,22.39503,247.9229,174.483
7.150009,0.03975,-0.1843333,-0.4214167,0.4,0.01,1.14,900,1374.609,291,268.605,21.16904,246.3748,174.6115
7.200009,0.02791667,-0.19725,-0.4145833,0.27,0.02,1.22,900,1419.401,291,269.831,17.05554,244.5559,176.1477
7.25001,0.03808333,-0.18725,-0.4116667,0.4,0.26,0.77,900,1464.305,291,270.5038,20.49615,245.5412,174.7146
7.30001,0.06458333,-0.2033333,-0.3920834,0.04,0.3,0.85,900,1464.305,291,270.5038,26.62105,242.5889,170.6463
7.35001,0.02791667,-0.1925,-0.43,-0.25,-0.04,0.88,900,1508.192,291,264.379,17.25161,245.8832,176.2854
7.40001,0.025,-0.17475,-0.4193334,0.22,-0.21,0.93,900,1553.634,291,273.7484,17.14158,247.3769,176.5881
7.45001,-0.00475,-0.18475,-0.4504167,-0.47,-0.08,0.79,-900,1540.931,291,-76.52722,367.5272,247.6978,180.6042
7.50001,0.00475,-0.1829167,-0.421,-0.44,-0.24,0.9599999,-900,1540.931,291,-76.52722,10.48753,246.516,179.3536
7.550011,0.00975,-0.1695833,-0.4129167,0.19,0.38,1.0,900,1587.496,291,280.5125,12.29053,247.6722,178.6473
7.600011,0.006,-0.176,-0.4251667,0.23,-0.08,0.82,900,1633.984,291,280.0475,10.95251,247.5126,179.1915
7.650011,0.008916667,-0.17875,-0.4366667,0.3,0.45,0.72,900,1633.984,291,280.0475,11.85575,247.7382,178.8302
7.700011,0.02375,-0.1839167,-0.4370833,0.28,0.47,0.84,900,1680.322,291,279.1443,16.35815,247.1795,176.8897
7.750011,-0.008083333,-0.1651667,-0.4133333,-0.17,0.13,1.21,900,1725.912,291,274.6418,366.1982,248.2185,181.1204
7.800012,-0.04266667,-0.16475,-0.3801667,0.45,-0.07,0.92,-875.9376,1715.374,291,-63.48065,354.4807,246.5699,186.4036
7.850012,-0.02958333,-0.1554167,-0.4183333,0.17,-0.21,1.0,-875.9376,1715.374,291,-63.48065,358.2228,249.6193,184.0451
7.900012,-0.035,-0.151,-0.4039166,0.27,-0.09,1.2,-875.9376,1715.374,291,-63.48065,355.95,249.5023,184.9524
7.950012,-0.04975,-0.1639167,-0.3754167,0.44,0.07,0.83,622.306,1704.593,291,-64.94998,352.1165,246.4127,187.5488
8.000012,-0.0575,-0.1618333,-0.3954167,0.19,0.26,1.0,622.306,1704.593,291,-64.94998,349.4397,247.7421,188.2738
8.050013,-0.03558333,-0.1764167,-0.421,0.36,-0.18,0.8,622.306,1704.593,291,-64.94998,357.5964,247.2643,184.8312
8.100013,-0.06,-0.176,-0.4239167,0.02,0.44,0.66,596.7499,1693.537,291,-66.59644,350.1753,247.453,188.056
8.150013,-0.00975,-0.17475,-0.3980833,0.14,0.01,1.06,596.7499,1693.537,291,-66.59644,365.8065,246.2996,181.403
8.200013,0.01433333,-0.1855833,-0.4280833,0.24,0.16,0.72,596.7499,1693.537,291,-66.59644,13.41642,246.5622,178.0823
8.250013,-0.01683333,-0.1755833,-0.4285,-0.61,-0.23,0.9,900,1739.616,291,277.5836,363.5237,247.718,182.2497
