x,y,z,heading1,heading2,heading3
0.2826667,0.3833333,0.196,36.40474,62.91914,34.7373,2.019999
0.275,0.3805833,0.2020833,35.85093,62.03245,36.31025,2.029999
0.2645833,0.3468333,0.2429167,37.33836,54.99319,42.55536,2.039999
0.2729167,0.3425,0.2576667,38.54913,53.04544,43.35366,2.049999
0.2670834,0.30875,0.2955833,40.86135,46.24811,47.89964,2.059999
0.2641666,0.3058333,0.2989167,40.81915,45.65527,48.53146,2.069999
0.2670834,0.2743333,0.321,44.23281,40.51789,50.23834,2.079998
0.25475,0.25875,0.3333333,44.55369,37.8204,52.61113,2.089998
0.2485,0.2258333,0.3576667,47.73587,32.26861,55.20916,2.099998
0.2485,0.1839167,0.36475,53.49458,26.75846,55.73384,2.109998
0.23875,0.1835,0.3601667,52.45461,26.99822,56.46009,2.119998
0.24375,0.1554167,0.3805833,57.47813,22.21335,57.36189,2.129998
0.2379167,0.1289167,0.39,61.54866,18.29159,58.61502,2.139998
0.221,0.09308333,0.39375,67.15958,13.30066,60.69582,2.149998
0.2214167,0.07583333,0.406,71.09409,10.57989,61.39366,2.159998
0.205,0.03683333,0.3916667,79.81407,5.37244,62.37225,2.169998
0.20875,0.003916667,0.4014167,88.92511,0.5590235,62.52407,2.179998
0.19225,-0.006666667,0.415,91.98605,-0.9203349,65.14392,2.189998
0.19225,-0.04166667,0.40725,102.2287,-5.841734,64.72947,2.199998
0.1843333,-0.05891666,0.4083333,107.7249,-8.210299,65.70422,2.209998
0.17375,-0.09708333,0.3929167,119.1944,-13.87888,66.14471,2.219998
0.1654167,-0.11475,0.39625,124.7492,-16.15048,67.34164,2.229998
0.1604167,-0.1501667,0.375,133.1098,-21.82336,66.83983,2.239998
0.1514167,-0.155,0.3614167,135.67,-23.21294,67.26859,2.249998
0.1418333,-0.17875,0.3695833,141.5689,-25.81086,69.00492,2.259998
0.1358333,-0.1804167,0.3580833,143.0244,-26.74079,69.22653,2.269998
0.14225,-0.1980833,0.3564167,144.3167,-29.0637,68.24249,2.279998
0.14,-0.215,0.3414166,146.9293,-32.19981,67.70361,2.289998
0.1275,-0.2391667,0.3241667,151.9379,-36.4195,68.52948,2.299998
0.1329167,-0.2475,0.3066667,151.7625,-38.90579,66.56693,2.309998
0.1430833,-0.25475,0.3139167,150.6787,-39.06006,65.49648,2.319998
0.1266667,-0.27,0.2935,154.867,-42.61194,66.65628,2.329998
0.1395833,-0.266,0.29475,152.3118,-42.06498,64.65939,2.339998
0.1439167,-0.286,0.2793333,153.2882,-45.67563,62.7418,2.349998
0.1279167,-0.2789166,0.2735,155.3629,-45.56179,64.93439,2.359998
0.1304167,-0.2868333,0.27475,155.5498,-46.23262,64.60752,2.369998
0.1383333,-0.29975,0.2716667,155.2269,-47.81364,63.01469,2.379998
0.1493333,-0.29975,0.2593333,153.5178,-49.13477,60.06514,2.389998
0.15725,-0.3089167,0.2495833,153.0222,-51.06418,57.78702,2.399998
0.1535,-0.3054167,0.2535,153.3163,-50.30686,58.80414,2.409998
0.1708333,-0.3026667,0.23475,150.5584,-52.20264,53.9557,2.419998
0.1745833,-0.3079167,0.2425,150.4475,-51.77777,54.2487,2.429998
0.1941667,-0.2980833,0.2283333,146.9204,-52.5477,49.62333,2.439998
0.20375,-0.3093333,0.2283333,146.6281,-53.56723,48.25632,2.449998
0.20875,-0.3014167,0.2254167,145.295,-53.20875,47.19837,2.459998
0.20875,-0.3058333,0.2093333,145.6841,-55.60958,45.07994,2.469998
